"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ctnnbl1",248.64960219937,0.307992860929499,0.196763803200237,1.5652922738847,0.117514393894822,0.189090183374537
"Lats1",133.500942017087,-0.414878678283755,0.265082792389577,-1.56509094590354,0.117561586234629,0.189131906232054
"Prdm10",50.4045836635336,-0.663801236548381,0.424236315805793,-1.56469687251446,0.117654002162362,0.189246356100218
"Socs5",286.541621007305,-0.320107045009738,0.20462912856044,-1.56432785137523,0.117740594654895,0.189351399286801
"Comt",30.590670596877,-0.884163175226881,0.565292641036516,-1.56408046212257,0.117798673666174,0.189410557169308
"Calhm2",370.063118503064,-0.250823618909367,0.16038510052481,-1.56388354085651,0.117844920489807,0.189450671924242
"Myl3",6.328743376126,-2.28108255889774,1.45963441565108,-1.56277663395615,0.11810514195777,0.189834701430135
"Rnf214",54.2917365590959,0.672428385416098,0.430445709892836,1.56216770190021,0.118248487160556,0.190003732734146
"Paqr7",34.1198164550739,0.904943133093476,0.579293948653124,1.56214843120232,0.118253025791595,0.190003732734146
"Farp2",24.6150160833592,1.21477862297969,0.777784214985156,1.56184530307403,0.11832443644947,0.190074635085412
"Nrip1",162.559594572255,0.374186988261555,0.239602359182559,1.56169993291449,0.118358694620532,0.190074635085412
"AC096326.1",21.7844952971388,-1.07448979385157,0.688030561310218,-1.56168905027332,0.118361259554592,0.190074635085412
"Chic2",104.75966795272,0.507282939189372,0.324864401249771,1.56152209117967,0.11840061567514,0.19010351560115
"Git2",285.455294778959,-0.305833120364121,0.195887627743603,-1.56126818159452,0.118460487708357,0.190165320008272
"Tcf4",325.409168119699,-0.314711356004216,0.201596024785285,-1.56109901640872,0.118500390137488,0.190191910778898
"Dok1",143.296668067655,-0.3901782976017,0.2499513958297,-1.56101667808865,0.118519815789481,0.190191910778898
"Tvp23b",222.366312902057,0.349472268900678,0.223926200423857,1.5606582357901,0.118604410316002,0.190293331486442
"Cops2",505.000612270147,0.237927630183518,0.152492517000944,1.56025774157852,0.118698985338003,0.190410725803703
"Dgkz",341.061957843835,-0.317330849050664,0.203738131349359,-1.55754274837499,0.119341679410021,0.191407183258589
"Gpr137",185.767517948189,0.337690271470628,0.216970070619275,1.55639102898752,0.119615137125348,0.191811185276721
"Sufu",9.88743135824401,-1.42604403339578,0.916333306061894,-1.55625035558781,0.119648571431038,0.191830216813101
"Rpsa",7307.81595278722,0.13305850024776,0.0855500976474928,1.55532844387886,0.119867866425065,0.192147174599199
"Notch2",6.71511871500887,-6.08177884726945,3.91278430799579,-1.55433531944026,0.120104452853124,0.192491731194331
"Ubp1",117.788493638808,-0.466629494363739,0.300274842553325,-1.55400795616393,0.120182518836112,0.192582148270081
"Maf",8.30967018479916,-1.86515547793762,1.20078425925809,-1.55328108572144,0.120355996921603,0.19282539492393
"Slc4a7",183.680945672276,0.35397538889825,0.227952430202605,1.55284762081122,0.120459542828927,0.192948844765054
"Tmub1",87.6580063299344,0.584508611707038,0.376427932317441,1.55277693689884,0.120476434381688,0.192948844765054
"Nup54",55.1255917946667,-0.624707898556523,0.40240432254208,-1.55243834015028,0.120557375607299,0.193033044399929
"Lrpap1",363.98261140092,-0.245367424110564,0.158059328985315,-1.55237546360431,0.120572410869702,0.193033044399929
"Erc1",445.472464728943,-0.237426587070151,0.152963275685522,-1.55218032567685,0.120619082287902,0.193073013667607
"Copb2",73.1476890020528,0.54460230981485,0.350923887742456,1.55191005467982,0.120683746742581,0.193141764533151
"RGD1359127",103.728143950631,-0.460506185041331,0.296991120161583,-1.55057223526005,0.121004230141022,0.193619828585067
"Pnn",864.686081135636,-0.204422085301234,0.131852881256531,-1.55038011572545,0.121050308261094,0.193630785891582
"Zfp422",242.265748203606,-0.312853128009139,0.201793578087534,-1.55036216203783,0.121054614990791,0.193630785891582
"Snx6",847.431954899731,-0.200895398002437,0.129628526673599,-1.5497776851872,0.121194884755314,0.193820298435548
"Bptf",863.96584684697,-0.209972674179582,0.135635871300795,-1.54806152801521,0.121607483563927,0.194370217454361
"Igsf8",432.332885143949,0.228459057975679,0.147581521692693,1.54801939535083,0.121617626903877,0.194370217454361
"LOC100360137",47.6230104534484,0.654833971859704,0.423019052413806,1.5480011316822,0.121622024044737,0.194370217454361
"Creb1",60.0040968329913,-0.660455798934298,0.426661038970705,-1.54796369625783,0.121631037345081,0.194370217454361
"Bbs5",35.7552124999135,0.81296498937253,0.525207406387238,1.54789323129447,0.121648004560813,0.194370217454361
"Arl14ep",234.913710435285,0.302993501957646,0.195800572717883,1.5474597328896,0.121752427098276,0.194502126264218
"Zfp672",45.8800455376247,-0.657378644731454,0.424916477350908,-1.54707731935886,0.121844602313047,0.194579232774379
"Psat1",666.560513378903,-0.199195959377188,0.128762325041455,-1.54700499010916,0.121862042359604,0.194579232774379
"LOC361635",234.679813386608,0.333632312716074,0.215665844374836,1.54698725559995,0.121866318806753,0.194579232774379
"Clic4",20.9864575244694,-1.09445696788391,0.707727427943831,-1.54643853646261,0.121998693302482,0.194755631178317
"Trerf1",18.8342970342798,-1.25805730165763,0.813895266480609,-1.54572382156446,0.12217128158534,0.194996151032048
"Fbxo33",130.65198465648,0.430809113466769,0.278931869940956,1.54449584250793,0.122468257663788,0.195435082870361
"Polr1c",229.614273232531,0.381007944075334,0.246879010994588,1.54329824370402,0.122758429569173,0.195863001079425
"Plcd3",85.5331116076965,-0.471416973161729,0.305626112291633,-1.54246301020214,0.122961119971199,0.196151212723066
"Fbxo8",48.2264229086162,0.756212789814851,0.490426335817959,1.54194979874725,0.123085793221655,0.196314888059283
"Zfp637",192.743953700376,0.384882918251435,0.249730286416925,1.54119439725814,0.123269480694247,0.196572612186327
"Ssh3",89.889975164743,0.515265640955106,0.334634464249197,1.53978653128626,0.123612396059184,0.197084112376132
"Ddx56",53.9483111756775,-1.51834954859781,0.986296112663385,-1.53944594235262,0.123695465413458,0.197181212339195
"Prmt10",87.6098159695535,0.453689799004177,0.295279524180819,1.5364756505309,0.124421765249602,0.198303458501202
"Rnf2",184.300801153231,0.343132740108751,0.223339372682562,1.53637370781217,0.124446751340976,0.19830774868828
"Rps17l",96.5364411123842,0.481293871060634,0.31335612916566,1.53593252617118,0.124554929786169,0.198444581846315
"Gid8",279.682334765094,0.281321705964516,0.183192697762016,1.53566004213759,0.124621779936907,0.198515532331445
"Sap30bp",166.271294145901,-0.337307186930636,0.219726901803267,-1.53512011575463,0.124754325985155,0.198691088565434
"Ppp1r3d",25.7888320498964,0.86513186191854,0.563670532191929,1.5348183247301,0.124828460277138,0.198773568593831
"AABR07054979.1",29.6683036712651,0.816635869346816,0.532382465918873,1.53392705737844,0.125047598646767,0.199086878461248
"Eif3d",2047.02328818425,0.158344677266468,0.103258435902349,1.53347933156971,0.125157795343959,0.1992266624167
"Fbxo42",60.313688966566,-0.580250099561847,0.37845862779155,-1.53319294885105,0.125228321093578,0.19930325928205
"Jkamp",49.5382439829547,-0.590293839440137,0.385149673181911,-1.53263492232365,0.125365831912805,0.199470686411889
"Pde7a",56.2498223332034,-0.59183528621624,0.386171278423652,-1.53257199404396,0.125381346297337,0.199470686411889
"Pcnt",177.407829572308,-0.371760144893733,0.242585197749762,-1.53249311310915,0.125400795774624,0.199470686411889
"R3hcc1l",68.4636167780461,0.546043090343877,0.356337813974734,1.53237481100615,0.125429969639553,0.199481419621639
"Eprs",4407.1169838291,0.13902361504114,0.0907437752983198,1.53204574731545,0.125511146140203,0.199574838204703
"Dhrs1",113.200313474633,0.437157500085027,0.28549897073349,1.53120517023898,0.125718693398746,0.199869129183529
"Naif1",44.1692879692928,0.664603071281616,0.434101763305017,1.53098450055048,0.125773223339032,0.199920089635577
"Aebp2",22.5039026313504,-0.992560064428384,0.648396985442743,-1.53079068335063,0.125821132928686,0.199960510523613
"Blvra",343.886093910522,0.254908558559146,0.166719035731187,1.52897092669222,0.126271651482213,0.200627413924832
"Rora",34.1443911690619,0.784495587740757,0.513106572846517,1.52891354205166,0.126285878647008,0.200627413924832
"Tyw1",131.676584405163,0.378302543516737,0.247536021643325,1.52827269746556,0.126444845733799,0.200844089786098
"Fig4",51.6731012909053,-0.601057969931515,0.393555048290691,-1.52725259793277,0.12669821167055,0.201210603965281
"Myd88",79.9028562051933,0.508701399974335,0.333285330591828,1.52632400313273,0.126929193700169,0.201541445548555
"Pcca",7.07760174525155,-1.99283637565775,1.30584935921497,-1.52608443048574,0.126988839020505,0.201600164748777
"Pign",41.5854271254264,-0.67408047159127,0.442214991886024,-1.52432749671455,0.127426921672365,0.202259541091307
"Vkorc1",361.30953159609,0.280725318201931,0.184180322785003,1.52418735051098,0.127461916997698,0.202278992273778
"Agbl5",8.38044254807335,-1.72139474237905,1.1294873135183,-1.52404964781499,0.127496309446645,0.202297479937194
"Mapk1ip1",76.0232375188072,0.560965975351638,0.368140256707104,1.52378330033585,0.127562852536804,0.202366965099851
"Med16",264.265743317346,-0.319443487367105,0.209673900221695,-1.52352527915657,0.127627341179461,0.202433166867209
"Elf2",121.307187830356,0.427955212042365,0.280937930346583,1.5233087661549,0.12768147502154,0.202482923928793
"Ptpn21",249.261363797367,0.277927276382957,0.182579069097851,1.5222296715403,0.127951542895683,0.202855693843768
"Utp15",48.4151375654198,-0.605315132745975,0.39766139025416,-1.52218733721948,0.127962147066597,0.202855693843768
"Swap70",141.848663322976,-0.380282876305591,0.250149135810791,-1.52022462549394,0.128454530312761,0.203583085056606
"Alg12",54.3917052626153,-0.604671272620771,0.397764006874387,-1.52017593892482,0.128466762948031,0.203583085056606
"LOC500034",38.7549910875848,0.793556568536095,0.522227512453483,1.51956101433239,0.128621342400749,0.20379174219
"Tgfbi",107.369258849957,0.427723249205757,0.281559092510113,1.51912426408461,0.128731220234509,0.203929510950303
"AABR07027870.1",160.413814992132,-0.381215508529642,0.250992005764744,-1.518835260781,0.128803967914237,0.204008421402625
"Fbxl19",21.9113192560136,-0.944773903703359,0.622526757862361,-1.51764384706536,0.129104206946116,0.20444755577456
"Gpatch1",144.357018242418,0.402212132659518,0.265074587988462,1.51735455183288,0.129177191985053,0.204526721734967
"Alpk1",67.731725275995,0.583009322541602,0.384274159815932,1.517170248504,0.129223705782159,0.204563954962146
