"","AbsCon1.H9C2_S3.bam","AbsCon2.H9C2_S25.bam","AbsCon3.H9C2_S21.bam","H9C2diff10ns1_S11.bam","H9C2diff10ns2_S20.bam","H9C2diff10ns3_S24.bam","NRCMD1.0_S30.bam","NRCMD1.1_S19.bam","NRCMD1.2_S23.bam","NRCMD3.1_S10.bam","NRCMD3.2_S22.bam","NRCMD3.3_S18.bam","ratheart1_S14.bam","ratheart2_S6.bam","ratheart3_S4.bam"
"Rlf",6.150382,5.920729,6.574075,6.477812,6.447847,6.149642,6.498227,6.922245,6.78222,6.856623,6.973597,6.535257,5.404872,6.802655,6.463781
"Ppt1",6.315844,6.361917,6.100794,7.13638,6.652975,6.809219,5.659989,5.88202,5.822384,7.256275,7.482047,7.408979,5.449615,5.270726,5.703941
"Cap1",10.33645,10.09206,10.02548,8.904966,8.875278,8.700708,9.499703,9.49198,9.366783,10.18658,10.29686,10.2094,7.789251,8.141617,8.335377
"Trit1",6.519677,6.881287,6.559017,6.43514,6.520784,6.606261,6.883073,6.840141,6.944714,6.737319,6.376206,6.740728,7.093741,7.055547,6.914082
"Ppie",8.076018,7.852303,7.441151,7.388259,7.52307,7.323172,8.576578,8.206123,8.23817,8.068027,8.273649,8.208732,7.090429,7.368783,6.980369
"Heyl",3.694087,1.120648,1.410194,1.988901,1.636583,1.640148,4.486498,4.667713,4.965838,5.211164,5.115029,4.647848,7.12713,7.50271,7.428105
"Pabpc4",8.94592,8.894543,8.95215,9.304895,9.432899,9.667227,9.498213,9.556896,9.572216,10.00722,9.947707,9.909688,11.09728,10.92268,10.84685
"Macf1",10.84312,10.89153,11.21651,10.9226,10.85447,10.68154,10.08054,9.914326,9.97899,10.45279,10.51423,10.35861,11.39867,11.43424,11.06743
"Ndufs5",6.466056,6.098528,6.145566,7.212469,6.778584,7.283437,6.42099,6.826253,6.160492,7.444688,6.757648,7.328683,8.825689,8.3917,8.891477
"Akirin1",7.392753,6.661637,7.287288,7.988411,8.263127,7.721567,7.806248,7.745424,7.229793,7.676068,7.709226,7.376075,7.84634,8.014148,8.143593
"Mycbp",7.332118,7.487596,7.18346,7.335098,7.488587,7.286337,7.645512,7.622248,7.527153,7.370222,7.782855,7.128782,6.839323,7.441534,7.643963
"Rragc",8.585383,8.363151,8.447035,8.58928,8.53588,8.63298,8.243578,8.411823,8.512995,9.074137,8.979729,9.143935,8.155348,8.13461,8.180478
"Utp11l",7.503436,7.656184,7.611243,7.712163,7.46737,7.709157,8.373952,8.423487,8.225087,8.355825,8.291419,8.259829,6.998071,7.527246,7.464805
"Fhl3",7.619225,7.644005,7.779334,7.598081,7.145681,7.356651,8.508177,8.040019,7.952028,7.569587,7.667259,7.779715,8.032659,8.582823,7.832909
"Sf3a3",8.645184,8.263165,8.025343,8.143352,8.403383,8.325851,8.800637,8.536304,8.377626,8.119127,8.038866,8.061999,7.321046,7.318049,7.334593
"RGD1559909",7.831683,7.626131,7.681609,8.395727,8.182916,7.904616,8.02689,7.755559,7.854369,8.687976,8.316456,8.408634,6.510663,6.507703,7.087347
"Yrdc",6.233845,5.961851,6.166488,6.227806,5.899277,6.843815,7.250894,6.721012,6.537534,6.811056,5.769853,6.978524,5.910077,5.647242,4.984538
"Cdca8",9.471772,9.381009,9.35048,7.33791,7.796579,7.454099,7.920654,7.935537,7.790304,8.236752,8.071992,8.156427,4.009763,5.187246,4.71616
"Rspo1",8.37347,8.157637,8.428068,7.08399,7.326609,7.689581,2.305256,1.824017,2.834093,4.675308,4.758005,4.43747,3.373219,4.803659,4.720759
"Gnl2",8.016848,7.707341,8.052059,8.252039,7.819244,7.977489,8.111755,8.590475,8.628888,8.52487,8.385572,7.883383,7.773281,8.039424,7.51167
"Meaf6",6.532654,6.962558,7.093688,6.053051,6.492858,6.182535,6.705707,7.044508,7.050685,6.596764,6.897551,6.677088,7.226969,7.001216,6.626588
"Zc3h12a",4.732034,4.970008,5.0113,3.703925,4.850033,2.899151,6.715275,6.125866,6.349504,4.59776,5.335986,4.985217,6.308531,5.792515,5.710946
"Mrps15",8.769826,8.471594,8.605918,8.935343,8.551489,8.473212,8.489707,9.077893,9.050255,9.130966,9.162175,8.995678,10.45855,10.52771,10.58167
"Oscp1",2.978025,4.58362,3.900554,3.453014,3.835581,2.466174,3.418384,2.739462,4.030333,3.27714,3.646426,2.797791,1.74976,4.157983,2.472564
"Lsm10",4.491677,5.460596,5.367384,6.075177,5.641158,6.488073,5.733607,6.258924,5.61739,5.588199,5.816838,5.695373,5.721191,4.859366,5.065336
"Stk40",6.444699,6.104541,6.568649,6.587468,6.688321,6.383627,7.685356,7.073268,7.138361,7.806718,7.506744,7.593314,8.964079,9.084599,8.671234
"Eva1b",7.338685,7.693475,7.028575,7.297962,7.713973,7.54617,9.050998,9.217179,9.025752,9.8046,9.703353,9.719825,7.306712,7.830012,7.601668
"Thrap3",9.207587,8.937804,9.094029,8.71064,8.991074,8.883301,9.450258,9.532752,9.391616,9.340266,9.419083,9.619041,8.975324,9.181324,8.804573
"Map7d1",8.906073,8.622338,9.208971,8.982409,8.967734,8.92465,9.148986,9.021909,9.319227,9.038278,9.199461,9.089032,10.76351,10.43454,10.41706
"Trappc3",8.522957,8.568809,8.06181,8.456442,8.13416,8.319452,8.818965,9.020191,9.00372,8.854534,9.109945,8.932369,8.907595,8.785365,8.475513
"Col8a2",6.409352,6.265766,6.080118,6.569382,6.269372,6.807764,3.451263,4.024272,4.154355,6.114922,5.922429,6.307251,2.937835,4.217672,3.873073
"Adprhl2",7.98528,8.188853,8.24316,7.74036,7.994904,8.208643,8.536578,8.383242,8.207819,8.559675,8.28623,8.390524,7.87449,7.913387,7.792542
"Clspn",5.589325,6.059853,5.432684,2.876449,2.678001,2.494687,4.468072,4.550322,4.26345,3.569334,4.050753,3.651215,1.804367,1.802835,3.44878
"RGD1563072",5.720063,5.657889,5.327103,5.951943,6.633539,6.210632,5.471746,6.038302,5.082028,5.7652,5.959436,5.358168,7.569486,7.518481,7.249257
"Psmb2",9.094395,9.5254,8.793009,9.098276,9.068901,9.17785,9.477425,9.547699,9.492896,9.490044,9.243724,9.284266,8.599395,8.905551,8.642395
"Ncdn",8.151069,7.780816,8.498367,7.65137,7.638285,7.643366,7.292011,7.333549,7.273499,7.205212,7.155284,7.126448,7.720695,7.531227,7.783023
"LOC100294508",7.050374,6.429283,7.36087,7.419402,7.449986,7.194022,7.907704,7.565391,7.716695,7.863931,7.90236,7.990176,9.093057,8.710243,8.865346
"Zmym4",6.59924,7.389281,7.238032,6.595388,6.901355,6.661288,7.127858,7.273666,7.304159,6.851608,7.143758,7.098692,7.166513,7.337883,7.507707
